2020,possessor uncut
2019,la nuée (la nube)
2020,relic
2020,mandibules
2020,the dark & the wicked
2019,comrade drakulich (drakulics elvtárs)
2020,mosquito state
2020,baby
2020,la vampira de barcelona (the barcelona vampiress)
2020,the luggage
2020,rutina: la prohibición
2019,tailgate (bumperkleef)
2019,the queen of black magic (ratu ilmu hitam)
2020,my heart can't beat unless you tell it to
2020,el elemento enigmático
2020,los que vuelven (the returned)
2020,"luz distante, parte 1, les desventurades"
2019,"ivan, o terrível"
2020,marea alta (high tide)
2020,teddy
2020,dar-dar
2020,le dernier voyage de paul w.r.
2020,she dies tomorrow
2019,seven days war (bokura no nanoka-kan sensô)
2020,red rover
2019,horrorscope
2020,"100,000 acres of pine"
2020,12 hour shift
2020,30 monedas. episodio 1 (30 coins. episode 1)
2019,4x6
2020,76 horror bookstore: tin of fear
1964,à meia-noite levarei sua alma (at midnight i'll take your soul)
2020,a la cabeza
2020,a strange calm
2020,a tale best forgotten
2020,a witch is børn
2020,aamamá
2020,amulet
1979,aquella casa en las afueras
2020,archenemy
2020,archive
2020,arka
1986,as sete vampiras
2019,average happiness
2020,axe to the face
2018,bava puzzle
2020,be water
2020,beauty water (gi-gi-goe-goe seong-hyeong-su)
2020,becky
2019,benny loves you
2020,black bear
2019,black water: abyss (abismo)
2020,body
2020,boys from county hell
2020,breeder
1994,brother of darkness
1977,bruce lee ataca (the dragon lives again)
1976,bruce lee lucha desde la tumba (bruce lee fights back from the grave)
2020,bubble
2019,cabrito
2020,candela
2020,carrousel
2019,casa
2019,caso aparte
2019,chimera
2020,citizen k.
2020,clapboard jungle
2020,come true
2020,conversaciones con un mono
2020,cosmética del enemigo (a perfect enemy)
2020,cosmogonie
2020,crawler
2020,cuidado con lo que deseas
2020,dana
1990,desafío total (total recall)
1996,ebola syndrome
2019,eject
1974,el anticristo
1967,el coleccionista de cadáveres
1962,el gabinete caligari (the cabinet of caligari)
1920,das cabinet des dr. caligari (el gabinete del dr. caligari)
1972,el gran amor del conde drácula
1980,the elephant man (el hombre elefante)
1978,el huerto del francés
1980,star wars-episode v: el imperio contraataca (star wars-episode v: the empire strikes back)
1978,el juego de la muerte de bruce lee (enter the game of death)
1962,el proceso (le procès)
2020,el ruido solar (solar noise)
1933,el testamento del dr. mabuse (das testament des dr. mabuse)
2020,empty places
1980,flash gordon
2020,for the sake of vicious
2020,found me
2020,este cuerpo me sienta de muerte (freaky)
2020,fried barry
1972,furia oriental (fist of fury)
2020,get the hell out! (tao chu li fa yuan)
2020,h.p. lovecraft's the deep ones
2020,hail to the deadites
2020,hclm degustació variada vol. 1
2020,hclm degustació variada vol. 2
2019,hello world (haro warudo)
2020,historia de lo oculto (history of the occult)
2020,honeydew
2020,host
2020,hosts
2020,ich-chi
2019,impetigore
2020,in the land of franco
2020,initiation
2020,inmortal (immortal)
2020,italy possessed: a brief history of exorcist rip-offs
2020,jostissi de carreró
2020,jumbo
2020,kandisha
2020,kubrick by kubrick (kubrick par kubrick)
2019,l'état sauvage (savage state)
1974,l'ossessa
2020,l'ultimo uomo che dipinse il cinema (the last movie painter)
2019,la casa
2020,la dama del fantaterror
2020,la funeraria (the funeral home)
1978,la gran revancha de bruce le (bruce le's greatest revenge)
1980,la saga de bruce lee (the clones of bruce lee)
2020,la zona caliente
2020,last words
2019,lava
2020,le tueur du lac maudit
2020,les animaux anonymes (anonymous animals)
2019,life as a b movie: piero vivarelli
2020,live forever
1970,los monstruos del terror
1993,love to kill
2020,lucky
2019,lupin iii: the first
2001,maldito: the strange world of mojica marins
2020,malnazidos
1970,manos torpes (quando satana impugnò la colt)
2020,may the devil take you too (sebelum iblis menjemput ayat 2)
2020,meandre (meander)
2020,meow or never
2020,migrations
2020,milk teeth
2020,minor premise
2019,moires
2020,monster seafood wars
2020,morgue
2020,mortal
2020,my little china girl
2020,no matarás (cross the line)
1982,o segredo da múmia
1978,o universo de mojica marins
2019,paracusia
2020,peninsula
2020,petit vampire (little vampire)
2020,pilar
2020,post mortem
2020,presentació tac 2020
2019,progeny
2020,psycho goreman
2020,"pujolar ""los muertos aún recuerdan su nombre"""
2019,rainy season
2020,raze of the cyborg
2020,red light
2020,red screening
2020,rent-a-pal
1976,reto a muerte a bruce lee (story of the dragon)
2020,riven
2019,roar
2019,rpg
2019,saint maud
2020,saint-narcisse
1976,"sale el dragón, entra el tigre (exit the dragon, enter the tiger)"
2020,sangre vurdalak (vurdalak blood)
2020,save yourselves!
2019,sea fever (contagio en alta mar)
2020,segrelles. ilustrador universal
2020,sessió ciència ficció made in china
2020,sessió especial - el planeta de los bonobos
2010,sessió especial más allá de morayta...
2020,sky sharks
2020,slaxx
2020,sleepless beauty (ya ne splyu)
2019,something to remember
1967,soy leyenda
2020,spaceship earth
2020,spare parts
2020,spiritwalker
1986,spookies
2020,spoon
2020,spree
2020,sputnik
2020,spyglass
2020,superdeep (kola superdeep)
2020,surge
2020,"sweetie, you won't believe it"
2020,tártaro
2020,temple of devilbuster (fu mou dien)
2020,the adventures of gloria scott - murder in the cathedral
2020,the banishing
2020,the book of vision
2020,the edge
2020,the education of fredrick fitzell
2019,the history of monsters
2019,the mortuary collection
2020,the night (aan shab)
2019,the old man movie (vanamehe film)
2020,the old ways
2020,the owners
2020,the painted
2020,the pale door
2020,"the quiet revolution: state, society and the canadian horror film"
2020,the reckoning
2020,the retreat
2020,the show
2020,the silencing
2020,the stylist
2020,the toll
2020,the unknown
2020,the zillas have a picnic
2020,tin can
2005,um lobisomem na amazonia
2020,un coeur d'or
2020,un efecto óptico (an optical illusion)
1975,lucifer el ángel maldito (un urlo dalle tenebre)
2020,unzo
2019,valley of the gods
2020,vicious fun
1967,viy
2020,wendy
2019,werner pochath-mr. nice guy
2019,yummy
2019,zombies en el cañaveral. el documental
